index,k__Metazoa;p__Platyhelminthes;c__Cestoda;o__Diphyllobothriidea;f__Diphyllobothriidae;g__Spirometra;s__erinaceieuropaei,k__Metazoa;p__Nematoda;c__Chromadorea;o__Rhabditida;f__Anisakidae;g__Anisakis;s__sp.,k__Metazoa;p__Nematoda;c__Chromadorea;o__Rhabditida;f__Anisakidae;g__Anisakis;s__physeteris,k__Eukaryota;p__Fornicata;c__Fornicata;o__Diplomonadida;f__Hexamitidae;g__Giardia;s__intestinalis,k__Metazoa;p__Platyhelminthes;c__Cestoda;o__Cyclophyllidea;f__Taeniidae;g__Taenia;s__saginata,k__Eukaryota;p__Evosea;c__Evosea;o__Mastigamoebida;f__Entamoebidae;g__Entamoeba;s__histolytica,k__Metazoa;p__Nematoda;c__Chromadorea;o__Rhabditida;f__Anisakidae;g__Anisakis;s__pegreffii,Unassigned;__;__;__;__;__;__,k__Metazoa;p__Chordata;c__Actinopteri;o__Cyprinodontiformes;f__Fundulidae;g__Fundulus;s__heteroclitus,k__Eukaryota;p__Discosea;c__Discosea;o__Longamoebia;f__Acanthamoebidae;g__Acanthamoeba;s__sp. KDN1,k__Eukaryota;p__Discosea;c__Discosea;o__Longamoebia;f__Acanthamoebidae;g__Acanthamoeba;s__sp. KA/MSG15,k__Metazoa;p__Platyhelminthes;c__Cestoda;o__Cyclophyllidea;f__Taeniidae;g__Taenia;s__asiatica,k__Metazoa;p__Platyhelminthes;c__Cestoda;o__Diphyllobothriidea;f__Diphyllobothriidae;g__Diphyllobothrium;s__cordatum,k__Eukaryota;p__Evosea;c__Evosea;o__Mastigamoebida;f__Entamoebidae;g__uncultured;s__Entamoeba,k__Metazoa;p__Nematoda;c__Chromadorea;o__Rhabditida;f__Anisakidae;g__Pseudoterranova;s__decipiens,k__Eukaryota;p__Discosea;c__Discosea;o__Longamoebia;f__Acanthamoebidae;g__Acanthamoeba;s__polyphaga,k__Metazoa;p__Platyhelminthes;c__Cestoda;o__Diphyllobothriidea;f__Diphyllobothriidae;g__Schistocephalus;s__solidus,k__Metazoa;p__Platyhelminthes;c__Cestoda;o__Diphyllobothriidea;f__Diphyllobothriidae;g__Schistocephalus;s__pungitii,k__Fungi;p__Fungi;c__Fungi;o__Fungi;f__Fungi;g__uncultured;s__fungus,k__Metazoa;p__Platyhelminthes;c__Cestoda;o__Diphyllobothriidea;f__Diphyllobothriidae;g__Bothridium;s__pithonis,k__Metazoa;p__Nematoda;c__Chromadorea;o__Rhabditida;f__Ascarididae;g__Ascaris;s__lumbricoides,k__Eukaryota;p__Discosea;c__Discosea;o__Longamoebia;f__Acanthamoebidae;g__Acanthamoeba;s__castellanii,k__Metazoa;p__Nematoda;c__Chromadorea;o__Rhabditida;f__Anisakidae;g__Terranova;s__caballeroi,k__Eukaryota;p__Discosea;c__Discosea;o__Longamoebia;f__Acanthamoebidae;g__Acanthamoeba;s__sp. KA/E5,k__Metazoa;p__Platyhelminthes;c__Cestoda;o__Nippotaeniidea;f__Nippotaeniidae;g__Amurotaenia;s__decidua,k__Metazoa;p__Platyhelminthes;c__Cestoda;o__Diphyllobothriidea;f__Diphyllobothriidae;g__Spirometra;s__sp. JL-2010,k__Metazoa;p__Platyhelminthes;c__Cestoda;o__Phyllobothriidea;f__Phyllobothriidae;g__Phyllobothrium;s__sp. JM3,k__Eukaryota;p__Fornicata;c__Fornicata;o__Diplomonadida;f__Hexamitidae;g__Giardia;s__lamblia ATCC 50803,k__Metazoa;p__Nematoda;c__Chromadorea;o__Rhabditida;f__Ascarididae;g__Ascaris;s__suum,k__Metazoa;p__Nematoda;c__Chromadorea;o__Rhabditida;f__Toxocaridae;g__Toxocara;s__cati,k__Eukaryota;p__Discosea;c__Discosea;o__Longamoebia;f__Acanthamoebidae;g__Acanthamoeba;s__royreba,k__Metazoa;p__Nematoda;c__Chromadorea;o__Rhabditida;f__Ascarididae;g__Krefftascaris;s__sharpiloi
barcode08_concatenated,213.0,0.0,0.0,1.0,100.0,158.0,0.0,45.0,0.0,0.0,0.0,20.0,7.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
barcode16_concatenated,39.0,152.0,0.0,0.0,6.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
barcode04_concatenated,0.0,0.0,14.0,0.0,0.0,3.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
barcode05_concatenated,0.0,0.0,0.0,77.0,0.0,0.0,0.0,120.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
barcode10_concatenated,46.0,62.0,0.0,131.0,5.0,101.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
barcode12_concatenated,59.0,97.0,0.0,164.0,10.0,116.0,0.0,42.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
barcode15_concatenated,19.0,86.0,0.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
barcode06_concatenated,20.0,98.0,0.0,0.0,0.0,24.0,0.0,18.0,0.0,0.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
barcode13_concatenated,36.0,101.0,0.0,0.0,3.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
barcode14_concatenated,13.0,44.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
barcode17_concatenated,0.0,0.0,0.0,6.0,4.0,4.0,27.0,35.0,0.0,7.0,0.0,0.0,27.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0
barcode09_concatenated,77.0,85.0,0.0,0.0,10.0,117.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
barcode11_concatenated,20.0,28.0,0.0,0.0,1.0,43.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
barcode07_concatenated,2.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
